Account_ID,Account_Name,Parent_Account_ID,Parent_Account_Name,Account_Owner_ID,Account_Owner_Name,SDR_Owner_ID,SDR_Owner_Name,Billing_City,Billing_State,Industry,Sub_Industry,NAICS_Code,Account_Score,Revenue_Range,Employee_Count
ACC000060,Quantum Enterprises,,,USR014,Kevin Martinez,SDR006,SDR Avery,San Francisco,CA,Media & Entertainment,Film & TV,516460,42.98,$10M-$50M,153
ACC000061,Stellar Group,,,USR013,Ashley Brown,,,Seattle,WA,Financial Services,Investment Management,522442,14.7,$10M-$50M,265
ACC000062,Global International,,,USR015,Stephanie Garcia,SDR034,SDR Morgan,Jacksonville,FL,Healthcare,Health Insurance,629167,41.05,$50M-$100M,889
ACC000063,Strategic Group,,,USR016,Brian Moore,SDR046,SDR Morgan,Philadelphia,PA,Technology,Cloud Computing,511224,37.49,$50M-$100M,547
ACC000064,Innovative International,,,USR016,Brian Moore,,,San Jose,CA,Manufacturing,Industrial Equipment,315479,29.29,$10M-$50M,347
ACC000065,Strategic Industries,,,USR020,Matthew Walker,SDR005,SDR Taylor,Dallas,TX,Media & Entertainment,Gaming,517798,11.98,$10M-$50M,359
ACC000066,Nexus Inc,,,USR016,Brian Moore,,,Charlotte,NC,Retail,E-commerce,446654,31.0,$10M-$50M,490
ACC000067,Vertex Inc,,,USR008,Robert Jackson,SDR050,SDR Morgan,Columbus,OH,Transportation,Public Transit,488749,13.75,$50M-$100M,915
ACC000068,Strategic Partners,,,USR005,Jessica Martinez,SDR007,SDR Riley,Minneapolis,MN,Energy,Energy Storage,212633,85.68,$10M-$50M,333
ACC000069,Strategic Technologies,,,USR009,Lauren Davis,SDR042,SDR Jamie,Chicago,IL,Technology,Data Analytics,519742,16.74,$10M-$50M,262
ACC000070,Premier Ventures,,,USR010,Christopher Lee,,,Las Vegas,NV,Education,Training & Certification,612612,11.52,$100M-$500M,3883
ACC000071,Nexus Solutions,,,USR002,Michael Rodriguez,SDR028,SDR Riley,Phoenix,AZ,Healthcare,Health Insurance,627751,31.98,$50M-$100M,905
ACC000072,Atlas Ventures,,,USR016,Brian Moore,,,Phoenix,AZ,Financial Services,Insurance,525161,3.94,$10M-$50M,441
ACC000073,Dynamic Technologies,,,USR012,Daniel Anderson,,,San Jose,CA,Technology,AI/ML,517951,19.57,$50M-$100M,733
ACC000074,Stellar Technologies,,,USR019,Nicole Lewis,SDR045,SDR Casey,San Jose,CA,Retail,Department Stores,447484,21.04,<$10M,82
ACC000075,Stellar Inc,,,USR010,Christopher Lee,SDR039,SDR Morgan,Miami,FL,Education,Higher Education,614115,24.18,$50M-$100M,847
ACC000076,Premier Group,,,USR002,Michael Rodriguez,SDR006,SDR Taylor,San Jose,CA,Professional Services,Legal,547807,6.62,<$10M,26
ACC000077,Quantum Inc,,,USR016,Brian Moore,,,San Jose,CA,Transportation,Freight,486549,43.62,$100M-$500M,2918
ACC000078,Apex Inc,,,USR013,Ashley Brown,,,Miami,FL,Healthcare,Pharmaceuticals,622479,54.77,$100M-$500M,1057
ACC000079,Zenith International,,,USR009,Lauren Davis,SDR007,SDR Riley,Detroit,MI,Retail,Fashion,441410,22.07,$50M-$100M,982
ACC000080,Apex International,,,USR015,Stephanie Garcia,,,San Jose,CA,Transportation,Freight,482911,6.28,<$10M,14
ACC000081,Apex Holdings,,,USR015,Stephanie Garcia,SDR038,SDR Jamie,Las Vegas,NV,Retail,Grocery,447797,4.42,$50M-$100M,926
ACC000082,Quantum Solutions,,,USR007,Amanda Foster,SDR024,SDR Morgan,Houston,TX,Media & Entertainment,Film & TV,517018,13.94,$10M-$50M,430
ACC000083,Summit Technologies,,,USR015,Stephanie Garcia,SDR042,SDR Morgan,Nashville,TN,Telecommunications,Mobile Carriers,511349,33.29,<$10M,52
ACC000084,Summit Technologies,,,USR018,Ryan Clark,SDR015,SDR Morgan,Austin,TX,Manufacturing,Automotive,311046,12.57,<$10M,28
ACC000085,Dynamic Technologies,,,USR001,Sarah Chen,SDR016,SDR Riley,Denver,CO,Financial Services,Payments,523854,12.55,<$10M,26
ACC000086,Advanced Partners,,,USR012,Daniel Anderson,SDR029,SDR Jordan,Indianapolis,IN,Professional Services,Marketing,541710,30.65,$50M-$100M,965
ACC000087,Global Solutions,,,USR013,Ashley Brown,SDR032,SDR Jordan,Portland,OR,Education,Tutoring,612204,23.73,$100M-$500M,2319
ACC000088,Quantum Ventures,,,USR018,Ryan Clark,SDR039,SDR Jamie,Indianapolis,IN,Real Estate,Residential,539282,29.23,$50M-$100M,550
ACC000089,Summit Industries,,,USR008,Robert Jackson,SDR026,SDR Avery,Columbus,OH,Professional Services,Consulting,546120,42.23,$10M-$50M,440
ACC000090,Stellar Technologies,,,USR003,Emily Thompson,SDR048,SDR Jordan,Las Vegas,NV,Retail,Specialty Retail,443131,16.1,$50M-$100M,800
ACC000091,Innovative Industries,,,USR014,Kevin Martinez,,,Las Vegas,NV,Transportation,Rideshare,485712,19.0,$50M-$100M,680
ACC000092,Strategic International,,,USR004,James Wilson,SDR008,SDR Riley,Atlanta,GA,Healthcare,Telehealth,624705,16.73,$100M-$500M,4461
ACC000093,Global Ventures,,,USR009,Lauren Davis,SDR045,SDR Casey,Atlanta,GA,Transportation,Rideshare,486567,23.04,$10M-$50M,192
ACC000094,Advanced Enterprises,,,USR001,Sarah Chen,SDR025,SDR Morgan,Columbus,OH,Financial Services,Payments,523578,28.42,$10M-$50M,469
ACC000095,Premier Enterprises,,,USR020,Matthew Walker,SDR018,SDR Jordan,Charlotte,NC,Telecommunications,VoIP,518957,33.63,$50M-$100M,712
ACC000096,Innovative Corp,,,USR010,Christopher Lee,SDR034,SDR Avery,Detroit,MI,Retail,Department Stores,444612,38.21,$10M-$50M,406
ACC000097,Summit Services,,,USR009,Lauren Davis,SDR001,SDR Jordan,San Francisco,CA,Technology,SaaS,513878,48.17,<$10M,78
ACC000098,Zenith Technologies,,,USR002,Michael Rodriguez,SDR005,SDR Avery,Minneapolis,MN,Professional Services,Legal,548033,9.26,$50M-$100M,863
ACC000099,Atlas Solutions,,,USR006,David Kim,,,Boston,MA,Education,Training & Certification,616928,20.73,<$10M,23
ACC000100,Advanced Industries,,,USR011,Michelle Taylor,SDR005,SDR Taylor,Indianapolis,IN,Manufacturing,Electronics,319693,17.06,$10M-$50M,497
ACC000101,Summit Group - South,ACC000030,Summit Group,USR004,James Wilson,SDR012,SDR Morgan,Boston,MA,Telecommunications,Cable,512234,21.14,<$10M,90
ACC000102,Apex Holdings - Central,ACC000081,Apex Holdings,USR020,Matthew Walker,SDR010,SDR Riley,Charlotte,NC,Media & Entertainment,Music,518245,43.48,$50M-$100M,907
ACC000103,Advanced Group,,,USR002,Michael Rodriguez,SDR005,SDR Casey,Nashville,TN,Retail,Fashion,442479,11.27,$50M-$100M,759
ACC000104,Premier Partners,,,USR019,Nicole Lewis,SDR039,SDR Riley,San Francisco,CA,Energy,Energy Storage,212013,17.19,$10M-$50M,275
ACC000105,Dynamic Solutions,,,USR015,Stephanie Garcia,,,Indianapolis,IN,Professional Services,Consulting,543600,24.2,$10M-$50M,244
ACC000106,Zenith Ventures - East,ACC000004,Zenith Ventures,USR003,Emily Thompson,SDR019,SDR Jamie,Dallas,TX,Energy,Energy Storage,213463,20.54,$10M-$50M,398
ACC000107,Vertex Inc - West,ACC000067,Vertex Inc,USR005,Jessica Martinez,SDR020,SDR Jordan,Seattle,WA,Education,K-12,616381,15.07,$100M-$500M,3744
ACC000108,Titan Holdings,,,USR012,Daniel Anderson,SDR022,SDR Morgan,Atlanta,GA,Professional Services,HR Services,544711,30.16,>$1B,20154
ACC000109,Apex Systems - Central,ACC000028,Apex Systems,USR018,Ryan Clark,,,Indianapolis,IN,Healthcare,Medical Devices,626517,23.85,$100M-$500M,3531
ACC000110,Dynamic Enterprises,,,USR020,Matthew Walker,,,Philadelphia,PA,Financial Services,Payments,521715,22.2,$10M-$50M,446
ACC000111,Vertex Inc - West,ACC000067,Vertex Inc,USR008,Robert Jackson,SDR031,SDR Casey,Raleigh,NC,Professional Services,Legal,548218,6.7,$10M-$50M,244
ACC000112,Dynamic Inc,,,USR020,Matthew Walker,SDR004,SDR Casey,Nashville,TN,Energy,Grid Management,217081,36.66,$50M-$100M,552
ACC000113,Vertex Inc - North,ACC000067,Vertex Inc,USR006,David Kim,SDR028,SDR Taylor,Chicago,IL,Professional Services,HR Services,544637,17.97,$100M-$500M,4623
ACC000114,Atlas Holdings,,,USR013,Ashley Brown,,,Jacksonville,FL,Telecommunications,Mobile Carriers,516221,61.08,$500M-$1B,7746
ACC000115,Stellar Consulting,,,USR016,Brian Moore,SDR006,SDR Alex,New York,NY,Financial Services,Insurance,523449,57.92,$10M-$50M,472
ACC000116,Nexus Systems,,,USR002,Michael Rodriguez,SDR005,SDR Avery,Houston,TX,Real Estate,Construction,539189,43.62,$50M-$100M,508
ACC000117,Strategic Group,,,USR020,Matthew Walker,SDR012,SDR Jamie,Detroit,MI,Education,Tutoring,619576,39.12,>$1B,14435
ACC000118,Global Industries,,,USR002,Michael Rodriguez,SDR017,SDR Riley,Las Vegas,NV,Transportation,Rideshare,482106,38.62,$10M-$50M,475
ACC000119,Premier Ventures - South,ACC000070,Premier Ventures,USR002,Michael Rodriguez,SDR042,SDR Riley,Philadelphia,PA,Education,Higher Education,618612,47.99,>$1B,41361
ACC000120,Stellar Enterprises - West,ACC000018,Stellar Enterprises,USR002,Michael Rodriguez,SDR013,SDR Alex,Los Angeles,CA,Education,K-12,616080,30.32,$10M-$50M,378
ACC000121,Summit Group,,,USR002,Michael Rodriguez,,,Austin,TX,Media & Entertainment,Publishing,517029,33.01,$10M-$50M,304
ACC000122,Quantum Inc - East,ACC000077,Quantum Inc,USR006,David Kim,SDR024,SDR Avery,Miami,FL,Professional Services,Marketing,542353,54.07,$50M-$100M,540
ACC000123,Apex Inc - Central,ACC000035,Apex Inc,USR010,Christopher Lee,SDR021,SDR Jordan,Detroit,MI,Energy,Grid Management,218305,29.37,$50M-$100M,718
ACC000124,Premier Consulting,,,USR012,Daniel Anderson,SDR018,SDR Jamie,Nashville,TN,Financial Services,FinTech,521939,18.87,<$10M,91
ACC000125,Dynamic Solutions,,,USR020,Matthew Walker,SDR003,SDR Avery,Phoenix,AZ,Energy,Utilities,217001,41.28,$10M-$50M,390
ACC000126,Phoenix Corp,,,USR003,Emily Thompson,SDR026,SDR Riley,Austin,TX,Technology,DevOps,515089,44.27,$500M-$1B,5212
ACC000127,Atlas Holdings,,,USR009,Lauren Davis,SDR040,SDR Morgan,San Jose,CA,Professional Services,Legal,549047,6.43,<$10M,27
ACC000128,Phoenix Technologies,,,USR011,Michelle Taylor,SDR036,SDR Jordan,Seattle,WA,Healthcare,Health Insurance,625914,22.31,$100M-$500M,3915
ACC000129,Premier Enterprises - South,ACC000095,Premier Enterprises,USR004,James Wilson,,,Miami,FL,Professional Services,Legal,549094,17.82,<$10M,80
ACC000130,Strategic Ventures,,,USR003,Emily Thompson,SDR034,SDR Avery,Columbus,OH,Real Estate,REITs,532208,54.79,<$10M,50
ACC000131,Zenith Enterprises,,,USR018,Ryan Clark,SDR050,SDR Taylor,Phoenix,AZ,Education,Higher Education,611907,21.72,$100M-$500M,3122
ACC000132,Vertex Consulting,,,USR017,Jennifer White,,,Minneapolis,MN,Financial Services,Investment Management,524216,15.37,$50M-$100M,782
ACC000133,Advanced Holdings,,,USR019,Nicole Lewis,,,Phoenix,AZ,Retail,Department Stores,446531,39.37,$100M-$500M,3308
ACC000134,Quantum International,,,USR019,Nicole Lewis,SDR032,SDR Alex,Nashville,TN,Technology,SaaS,515949,19.21,$10M-$50M,450
ACC000135,Premier Enterprises,,,USR016,Brian Moore,SDR039,SDR Riley,Phoenix,AZ,Energy,Utilities,216231,5.75,$50M-$100M,940
ACC000136,Zenith Holdings,,,USR011,Michelle Taylor,SDR018,SDR Jordan,Charlotte,NC,Telecommunications,Satellite,512586,32.36,<$10M,59
ACC000137,Dynamic Inc,,,USR019,Nicole Lewis,SDR049,SDR Morgan,Philadelphia,PA,Real Estate,Property Management,539433,30.65,$10M-$50M,257
ACC000138,Atlas Holdings,,,USR008,Robert Jackson,SDR004,SDR Riley,Los Angeles,CA,Media & Entertainment,Streaming,518710,26.68,<$10M,11
ACC000139,Quantum Consulting,,,USR013,Ashley Brown,SDR004,SDR Jamie,Denver,CO,Healthcare,Health Insurance,626939,33.29,$50M-$100M,537
ACC000140,Quantum Inc,,,USR020,Matthew Walker,SDR026,SDR Jordan,Jacksonville,FL,Energy,Grid Management,216555,43.05,$50M-$100M,687
ACC000141,Atlas Holdings,,,USR002,Michael Rodriguez,SDR031,SDR Riley,Indianapolis,IN,Financial Services,Insurance,529446,38.54,<$10M,88
ACC000142,Nexus Ventures,,,USR017,Jennifer White,SDR031,SDR Casey,Raleigh,NC,Telecommunications,Internet Service,516427,16.38,$50M-$100M,713
ACC000143,Atlas Holdings - North,ACC000127,Atlas Holdings,USR020,Matthew Walker,SDR047,SDR Morgan,Los Angeles,CA,Real Estate,REITs,533793,11.22,$10M-$50M,469
ACC000144,Apex Solutions,,,USR004,James Wilson,SDR021,SDR Avery,Columbus,OH,Real Estate,Property Management,534340,5.82,$10M-$50M,496
ACC000145,Zenith Ventures - South,ACC000004,Zenith Ventures,USR017,Jennifer White,SDR043,SDR Riley,San Francisco,CA,Real Estate,Property Management,536140,39.14,$500M-$1B,8765
ACC000146,Quantum Ventures,,,USR008,Robert Jackson,SDR015,SDR Casey,San Jose,CA,Transportation,Freight,484396,21.07,$50M-$100M,750
ACC000147,Quantum Group,,,USR018,Ryan Clark,SDR023,SDR Jamie,Atlanta,GA,Telecommunications,Satellite,515758,18.1,<$10M,20
ACC000148,Stellar Systems,,,USR018,Ryan Clark,SDR009,SDR Casey,Houston,TX,Telecommunications,Satellite,514920,6.92,<$10M,95
ACC000149,Premier Technologies,,,USR016,Brian Moore,SDR001,SDR Taylor,Seattle,WA,Transportation,Airlines,483587,20.55,$10M-$50M,343
ACC000150,Vertex Inc - East,ACC000067,Vertex Inc,USR010,Christopher Lee,SDR042,SDR Jordan,Denver,CO,Media & Entertainment,Gaming,511611,33.96,$500M-$1B,6434
ACC000151,Zenith Ventures - West,ACC000004,Zenith Ventures,USR016,Brian Moore,SDR003,SDR Casey,New York,NY,Energy,Renewable Energy,212758,30.41,$500M-$1B,7744
ACC000152,Summit Services - Central,ACC000097,Summit Services,USR016,Brian Moore,,,Phoenix,AZ,Retail,Grocery,448668,13.25,<$10M,24
ACC000153,Atlas Holdings - East,ACC000127,Atlas Holdings,USR006,David Kim,SDR019,SDR Riley,Denver,CO,Telecommunications,Internet Service,514164,22.47,<$10M,91
ACC000154,Advanced Industries,,,USR006,David Kim,,,San Francisco,CA,Energy,Energy Storage,215064,13.16,<$10M,59
ACC000155,Premier Ventures - East,ACC000070,Premier Ventures,USR019,Nicole Lewis,SDR017,SDR Alex,Nashville,TN,Manufacturing,Electronics,314871,6.19,<$10M,25
ACC000156,Nexus Consulting,,,USR010,Christopher Lee,SDR015,SDR Morgan,Phoenix,AZ,Media & Entertainment,Publishing,518454,57.6,$50M-$100M,810
ACC000157,Stellar Technologies - Central,ACC000090,Stellar Technologies,USR007,Amanda Foster,SDR034,SDR Jordan,Charlotte,NC,Telecommunications,Satellite,516927,16.83,<$10M,82
ACC000158,Premier Enterprises - South,ACC000095,Premier Enterprises,USR019,Nicole Lewis,SDR021,SDR Taylor,Minneapolis,MN,Healthcare,Hospitals,622904,48.77,$50M-$100M,867
ACC000159,Phoenix Services,,,USR005,Jessica Martinez,SDR037,SDR Avery,Los Angeles,CA,Real Estate,Property Management,536049,22.58,$50M-$100M,702
ACC000160,Dynamic Inc - North,ACC000112,Dynamic Inc,USR002,Michael Rodriguez,SDR035,SDR Jordan,Los Angeles,CA,Retail,E-commerce,442130,36.86,>$1B,40937
ACC000161,Strategic Services,,,USR014,Kevin Martinez,SDR029,SDR Jamie,Minneapolis,MN,Technology,Cybersecurity,517184,49.62,$10M-$50M,449
ACC000162,Zenith Technologies,,,USR018,Ryan Clark,SDR047,SDR Taylor,San Diego,CA,Education,Tutoring,611372,31.05,>$1B,40343
ACC000163,Atlas Inc,,,USR015,Stephanie Garcia,SDR013,SDR Casey,Las Vegas,NV,Education,Tutoring,611527,37.75,$100M-$500M,2717
ACC000164,Advanced Technologies,,,USR015,Stephanie Garcia,SDR016,SDR Alex,Las Vegas,NV,Real Estate,Commercial,538191,33.52,<$10M,37
ACC000165,Nexus Systems,,,USR019,Nicole Lewis,SDR016,SDR Riley,San Jose,CA,Technology,Cloud Computing,519540,55.33,<$10M,48
ACC000166,Dynamic International,,,USR018,Ryan Clark,SDR042,SDR Riley,Detroit,MI,Retail,E-commerce,449592,5.2,$10M-$50M,313
ACC000167,Dynamic Services,,,USR008,Robert Jackson,,,San Jose,CA,Energy,Renewable Energy,213365,16.47,$100M-$500M,4746
ACC000168,Titan Holdings,,,USR013,Ashley Brown,SDR022,SDR Morgan,Nashville,TN,Technology,DevOps,518369,77.09,$100M-$500M,1378
ACC000169,Atlas International,,,USR002,Michael Rodriguez,,,San Antonio,TX,Transportation,Airlines,484555,4.73,$10M-$50M,270
ACC000170,Summit Consulting,,,USR016,Brian Moore,,,Portland,OR,Retail,E-commerce,444350,17.12,$10M-$50M,222
ACC000171,Quantum Inc - West,ACC000077,Quantum Inc,USR018,Ryan Clark,SDR017,SDR Casey,Jacksonville,FL,Transportation,Freight,489147,24.51,$10M-$50M,469
ACC000172,Nexus Solutions - East,ACC000071,Nexus Solutions,USR014,Kevin Martinez,SDR048,SDR Morgan,Phoenix,AZ,Media & Entertainment,Publishing,517841,29.08,<$10M,35
ACC000173,Apex Partners,,,USR011,Michelle Taylor,SDR047,SDR Avery,Nashville,TN,Telecommunications,Internet Service,518550,50.52,<$10M,55
ACC000174,Stellar Technologies - South,ACC000090,Stellar Technologies,USR018,Ryan Clark,,,Los Angeles,CA,Financial Services,Insurance,522217,38.52,$500M-$1B,5397
ACC000175,Apex Technologies,,,USR001,Sarah Chen,SDR024,SDR Avery,Los Angeles,CA,Technology,AI/ML,518916,60.15,$50M-$100M,508
ACC000176,Global Solutions,,,USR009,Lauren Davis,SDR002,SDR Casey,Indianapolis,IN,Technology,DevOps,518054,23.25,$100M-$500M,4726
ACC000177,Premier Enterprises - South,ACC000095,Premier Enterprises,USR008,Robert Jackson,SDR023,SDR Casey,Dallas,TX,Financial Services,Banking,522294,3.7,$10M-$50M,307
ACC000178,Apex Group,,,USR003,Emily Thompson,SDR006,SDR Alex,Fort Worth,TX,Media & Entertainment,Film & TV,518798,42.77,<$10M,11
ACC000179,Titan International,,,USR019,Nicole Lewis,,,Houston,TX,Professional Services,Legal,541697,23.76,<$10M,98
